Estabelecimento_ID,PolaridadeTexto,PolaridadeValor,ResumoTexto
ChIJwyMV-yf4zpQR9lsnx8FfygI,Positivo,0.5881557765151515,plus the 2nd package now with a new texture I gained even more from Café Terra Grão. It is certainly a coffee that I come to make all the difference.
ChIJxbXNHalZzpQRYb-PzJ3bbTQ,Positivo,0.4090693948412698,"I liked choux cream (I""m addicted kk) With health protocols be aware you can not find a sit but It is a place you shall visit.. One of my favorite coffeeshops in São Paulo! There are also quite interesting coxinhas, in the shimeji (mushroom) and kani (crab) flavors."
ChIJUfod8zRfzpQR-IlJWAVwxOk,Positivo,0.9183333333333332,"It was very good, family atmosphere, VIP service, excellent work, I really liked it.. Excellent quality of meals."
ChIJpVFK2xpYzpQRRN7Cdq6VrRA,Positivo,0.4936458333333333,"Chef Manu worked at DOM a few years ago then decided to open her own place focusing on comfort food from Bahia and Minas Gerais, hence the name. Best pão de queijo in brasil, you can also take them frozen to bake at home."
ChIJJ14kJNj3zpQRAm6a2hBwSjE,Positivo,0.7690178571428571,"best cake in the north zone, cakes always very fresh and tasty!! in addition to the quality of service, which is incredible !"
ChIJK76a5E5YzpQRCoY7nm1M3-k,Positivo,0.5088054522156085,"I developed taste for spicy food and it all seemed  very bland apart from lovely crunch  marinated beetroot. Either make a reservation or arrive very early, and take into consideration that this is not an ideal place for large groups."
ChIJ-8tnwpBYzpQRi_6bJhe9-WE,Positivo,0.2298921506734006,"Then the same attendant was staring at me with a mocking look, expressing anger. Well-assembled crepe, very tasty, quick service, attentive and careful employees with the safety protocol against COVID-19."
ChIJ_Sg3TMZVzpQRXY7AceI8s-8,Positivo,0.3958333333333333,"I gave three kings cakes as a gift, everyone loved them. Cozy place, 1000 service and delicious sweets !"
ChIJk_P5UkJQzpQRue4l2YSfWxk,Positivo,0.384448009672619,"The menu is very natural with salads, quiches, cakes and different types of tea. If you have, please let me know, as I will arrange to pick it up."
ChIJIxx3M8xZzpQR8_zbwK72tdk,Positivo,0.4091477272727272,"Food not particularly interesting, but the prices are ok. Service was good.. Great place. Incredibly organized and a huge selection of products.. My new favorite place, ever."
ChIJTUNAISr_zpQRctHZlQcaMcg,Positivo,0.4512925170068027,"Prices are high but the experience is worth it. It is a pleasant place with good service that offers gluten-free, lactose-free and vegan food."
ChIJx1jRGMhezpQR8WxzTzsEuig,Positivo,0.342327178030303,"Passing through the region, I decided to go in and visit this bakery. The service at this bakery is very different, worth every penny!."
ChIJ-QtUogDl3JQRtupIWJ5X47g,Positivo,0.6107708333333334,"Light, it's not a cloying sweet, congratulations on the initiative.. Very comfortable place, delicious ataif and the service is sensational!"
ChIJj36w_Xv3zpQRmH4qZPQ-x88,Positivo,0.6936904761904762,"A simple place, on this 7th of September it looks like the backyard at home. Very nice place, with great service and excellent coffees."
ChIJ_YB_IodZzpQRfLLcJed_64M,Positivo,0.3028370535714286,"Very little places offer halal options here, so if you’re looking for halal meat options this is a good choice 👍 They offer shawarmas, fries and sfihas.. Really amazing baba ganoush. Parking space is just besides the restaurant complete with car wash service.."
ChIJD7gbP51bzpQRT_i_CWnnMrc,Positivo,0.703125,Excellent quality products not to mention customer service! One of the best espresso coffees in São Paulo.. Great coffee.
ChIJVbqDuQ71zpQRExf_kysknmY,Positivo,0.6385069444444444,"The process from ordering to delivery is very good, I always buy there... 👏🏻👏🏻👏🏻. Very good snack, but the price could be a little more into account.."
ChIJO6oDSgXVmwARxN0rtbj_U-s,Positivo,0.2530190972222222,"Though this delicatessen offers scrumptious treats, it fails at large in customer service and false advertising. Two kinds of products have been widely advertised making me drop by its store in Ipanema, and upon my arrival there, apart from being totally disregarded, there was not a single sample of what has been announced.."
ChIJOQ3hklhD65QRyq-50jWUKS4,Positivo,0.5153000992063492,Be careful with the sweets ... you ate one and it was hard to control later all very tasty. Without a doubt the best Lebanese food I've ever had in my life.
ChIJx6dTXrNezpQRnRbw_fdtudU,Positivo,0.4625,Late night early morning coffee spot. Top.
ChIJv4xlWuZQzpQRO9DGtpe9aDg,Positivo,0.4319653003246753,"I ordered several slices from Ifood to celebrate my sister's birthday: Black Forest: his frosting was a little overdone, just the flavor she'd asked for, too much baking soda changing the flavor. Red velvet: filling was good, but the dough looked old."
ChIJt5yqle1RzpQRWnBJWvlIA5Y,Positivo,0.4382775673400673,First-rate service and a lot of care in delivery! All guests praised the taste and presentation of Bem Casados.
ChIJxUqWtW1XzpQRWNHbLkPAQbQ,Negativo,-0.2,"Poor service, they asked for 60 days to return the amount, 30 have already passed and they no longer respond. Draw your conclusions about the quality of care.. No one answers, no one answers... Several phone numbers on the website, but they don't work."
ChIJp2vwx51QzpQRKjGUXXQYnRE,Positivo,0.3927777777777778,"Whenever there is an event where I need to bring a delicacy to surprise those present, I take the coconut cake: in strips or the 1 kg cake. Stop by on Rua Edson to check it out."
ChIJwZNYylBXzpQRpeR6yqt3eIU,Positivo,0.291953125,I see a lot of complaints from people who was surprised to pay for artists cover. But the owner has no tact and can make new guests feel terrible.
ChIJW0-BOkxbzpQRhl5v2V7899I,Positivo,0.4708434794372294,"Food was delicious with great portions, staff really friendly and helpful to choose the best dish. Be aware when you have collected your luggage and go for exit, you will directly get in to tax free shopping area which causes more confusion in finding the way out from that."
ChIJu8EHFSdXzpQR1KJcoQirnhk,Positivo,0.3155981785864598,"It’s hard to give my Amar.go experience a meaningful score - without doubt the food is really good, fresh, healthy and tasty. For those who have a grinder at home, it is possible to buy coffee beans from the brand itself."
ChIJ_-YRjfhazpQR7gYGEedNBh0,Positivo,0.3119675925925926,"It has a great chicken pie and an excellent escarole. I do not recommend.. Nice atmosphere, tasty food, price compatible with the region and very friendly owner.."
ChIJSXFgayZZzpQRnM_0LxWgHQo,Positivo,0.3912514762849584,"The dough didn't seem to have any seasoning, very dry and with a taste of flour, the filling was even good but I wouldn't eat it again, I've tried other coxinhas de jackfruit much better. This place is for those who are passing by and need something practical, as there are not many options on the menu and it is not a place worth booking with a group of friends."
ChIJrReVgtBRzpQRZ16lx3aELGA,Positivo,0.4451522435897436,"I love this place, always good service, great cookies ♡. Exceptional service but the snacks were not very good."
ChIJV9JyLWL1zpQRBdCqwYm0Zjc,Positivo,0.3970867124773375,The round kibbeh stuffed with curd and mint I found very tasty. What I didn't like is that it was served in a plastic coffee cup..
ChIJe9EBAL73zpQRLZIhmE5QDIs,Positivo,0.7543402777777777,The best dog! The best hot dog I've ever had in my life
ChIJE7fGPjVZzpQRNXepU-U81EE,Positivo,0.3377011183261183,"This means you will have to eat holding your food and cup/glass. Cozy place with nice food options, however I only came for a quick bite and did not like their hot chocolate with lemon zest in it."
ChIJoUA9OglazpQRE29TdonoX1w,Positivo,0.3083384208384208,"Cons: -I don't have any negative points yet to highlight, the experience was very nice. When paying, it could be a little more agile and already have the items consumed in a command or some kind of record, we had to keep listing what we ordered on our visit."
ChIJ7zVPBFizyJQR-FuLH9tuUuY,Positivo,0.5377519728535354,"Wonderful food, first class service, a perfect environment for me and my work colleagues to have lunch. Super nominate points out that dessert is courtesy of the house for those who eat by weight...."
ChIJG9i1_-9ZzpQRnQZaz9a39qY,Positivo,0.4088181667869168,"Its sweets are very delicious, quality products, excellent service, family atmosphere and impeccable. But a suggestion is the croissant, which comes hot with different fillings to choose from."
ChIJZfj54Ox0K4cRRWyzD10xe_E,Positivo,0.4159672037760417,"Would absolutely order again.. My wife is celiac and we have had ALL of the local gluten free bakeries around.. Today we picked up cookies, a beautiful custom made cake and an order of French Macaroons."
ChIJMXOqKCFbzpQR6IESZVqKgg8,Positivo,0.8238888888888889,"Tasty açaí, very good service and easy location. Creamy açaí without ice, great service."
ChIJS0ow_dDzoAARDAbz9PTvJ1c,Positivo,0.4625631313131313,"With licensed tea maker, pleasant atmosphere, outdoor tables, cozy space, cable TV, and great service!. Sandwich with new ingredients, tasty and the house sauce was very good!"
ChIJcfHlTQpZzpQR5-Wfjj4BGEw,Positivo,0.3463541666666666,"If you think, imagine, dream, ask for information via insta or WhatsApp, give up! Before paying, check your order very carefully, there were at least 6 more drinks marked on mine."
ChIJ45j10xBazpQRT4dnh1VdeO8,Positivo,0.6541666666666667,"It""s been a long time to eat so delicious ice cream, chocolate options is all good. I have lived in the same place since always and never have I had as much disturbance and noise at inappropriate hours as I’ve had since this store opened next to my house."
ChIJITg4Q3v3zpQRnQkFD52tpf0,Positivo,0.3884375,"Delicious ice cream and great service. If you ever want an amazing taste with the rich touch of spoiling yourself,  go there."
ChIJV4xURAdazpQR-77S9u8qhSk,Positivo,0.3538626700680272,"It""s in a nice area of you""re one who likes to enjoy your gelato on the move, and nice seating areas both inside and out if you""re not. I also like the dark chocolate (not too sweet) and of course Straciatella!."
ChIJ7_mrYuxZzpQR5TSbgouQ2PM,Positivo,0.4458475942460317,"To go with it, an iced coconut cake that could have been wetter for my taste. It's a bit hidden and there aren't many places available, but the cafe is really well done."
ChIJQYL87YJZzpQRBP2sgHRkYDY,Positivo,0.4855151654411764,"When I went, they made me very uncomfortable, without any attention, misinformed about the menu. Finally, THE BEST CHOCOLATE CAKE I HAVE EVER HAD IN MY LIFE, seriously, you need to try this."
ChIJT3qQJzT2zpQRi_9yxRTkPhc,Positivo,0.4776354166666666,"Also, found a real gem...an independendent violonist was playing classical music for eveyone. Nice and clean .good atmosphere Prices ok. Good food, but it can be quite expensive.... Top."
ChIJ12JXXsdZzpQR5_Z3sxWaPJY,Positivo,0.4204915674603174,"The dish also takes some time and I feel that it still lacks a little organization in general. Rissotos with less flavor, sandwiches that don't have onions that taste like onions due to the lack of cleaning of the knives and dishes with less quantity or quality."
ChIJq_4ke2hXzpQRvXoMlkd1PLs,Positivo,0.4204342012154512,"There’s a huge variety of seating available from inside to outside but whenever you sit the views are amazing! Waiter was VERY rude, took plates out of our table before we were done with it, and rolled her eyes like a teenager."
ChIJwWmPS3NKzJQRMdZYpziZiBE,Positivo,0.2533580655455655,"Claimed order never existed and refused to help, insisted I buy it again. Highly recommend to come on a Saturday where they have live music starting at 2 pm.."
ChIJNasv8udRzpQRQ1FJTQ2w99o,Positivo,0.4722619047619047,"Beautiful views of the lake, spacious bar, food, beers ands drinks are also good! Easy and safe to park inside the property.. Good place and good music and good food especially on saturday they serve buffet the brazzilian traditional cuisine the bean and all those thing that i cant name it but believed me its good and i love it."
ChIJEyOtjU5YzpQRJi-Cf-QbjYU,Positivo,0.3990001960125448,"Don’t read other people reviews and come back to try everything before making a personal judgement 😜😊.. Fine dining. This definitely a must try restaurant, but get there early as it""s no secret and lines are huge!."
ChIJmTxV-_xbzpQRvTn27I0E0VU,Positivo,0.5420833333333334,"They serve a lot of food per one person, it can be shared. Great place to drink beer and watch soccer.. Top."
ChIJMxUQOZtbzpQRMFfnopTnW0M,Positivo,0.6059340277777778,"Beer is still served early in the morning, and very cold.. Carlão is awesome and his wife Dalva too ❤️❤️❤️❤️ Just come."
ChIJ28aGz6wEzpQRfqbqeeR5UMw,Positivo,0.4893973214285714,"Worth the visit to Ipiranga.. Good food, nice place but too expensive!. I believe the feijoada is not as good and too expensive.. Top!."
ChIJxeRCLET4zpQRoRf5jpTHqas,Positivo,0.5790959821428571,"The place is small but very cozy, I recommend it!. Pleasant atmosphere... a rustic touch, we had the feijoada, light, tasty, it was an average portion for two adults and a child, we ate well and the price was right."
ChIJOxDKZecDzpQRzu_YYUBdOb4,Positivo,0.4169975353422619,"I've eaten in this place always fresh food, varied mixtures family atmosphere, great service and most important prices accessible to all. Excellent restaurant with great value for money, first class service, always cold beer and quality homemade food."
ChIJ1SIDcRJazpQRpxO6-Rdwqc0,Positivo,0.5019146825396825,"Pick: Rodizio Barak Food:05 ...really wonderful, as you can see in each of the photos. There is also the lecture of a specific table, delaying other tables, really disorganized service."
ChIJ4T1LIS1YzpQRxdwkTeQr0w0,Positivo,0.5258147321428571,"They receive us very well, every week I return here just for the good service. I speak Spanish and I felt very comfortable that they attended me in my language, everyone was very friendly.. Good service and good options for breakfast."
ChIJB2ssy7ZZzpQRA0VxRFuH9A0,Positivo,0.3542560651154401,Prices can be very high but over all you'll find some affordable itens to buy! Staff here go out of their way to make a good experience.. Food took almost 1h.
ChIJXWW7cTX2zpQRF0ws_hfEDiU,Positivo,0.494609375,"Doubled Smashed 'Badass' burger was better than the burgers I""ve had in the USA.. A friend brought me here and I’m happy he did. Whenever I’m back to Brazil and to this area I’m definitely coming back.. Just as great as it’s nearby sister restaurant, just a little smaller."
ChIJEcsFHuxbzpQRRsQLe-GPDu0,Positivo,0.3764267676767676,"Craft beer pubs should provide customers with water (and not sell it in bottles) this is basic, as a result, customers end up not buying water and the lack of it is extremely harmful. Water should be served in the same amount as beers, in all serious bars and they should provide customers with water at will (even more so where beer is already expensive enough to be able to distribute water without having to charge)."
ChIJU35cDoh_mQAReb-y7415RXQ,Positivo,0.5783333333333334,"Always fresh options of breads and pastries, apart from serving a delicious breakfast.. I like they soup, the juices are very good either.. Great service and food.. Great place for a quick breakfast.. Top."
ChIJZccD5r9XzpQRYxza1ongLwE,Positivo,0.284375,Good place and reasonable price!. some of the finger foods from menu were unavailable!!!.
ChIJsdb8HwNRzpQRdhpmDd27mTM,Positivo,0.5984022892616643,It's one of those confectioners you can trust when choosing products! I tried the fig eclair with pistachio and they are simply wonderful!
ChIJkUojPZtXzpQRpEJwvrmhUSc,Positivo,0.3853993055555555,"Super nice place, well located, in front of Praça Benedito Calixto. We had a happy hour with the course group and it was fantastic."
ChIJw_NCSQSx3pQRBini3dkaTb8,Positivo,0.3743657407407407,"The place is getting better every day.. Great cost-benefit ratio, courteous service, cheap sweets and snacks with a nice variety and good quality. Great space for coffee, wide variety of products, affordable prices and excellent service, I definitely recommend !"
ChIJUSpnAqr5zpQRcDtkw0UEYno,Positivo,0.0498243124266683,"I bought 5 boxes and lost more than half, simply because the coffee didn't come out....it's not compatible with the nespresso....I saw a comment from two years ago and they said adjustments were made....no adjustments were made. The Box I bought from Bicafé Espresso Macchiato, is also full of dust and with a horrible taste."
ChIJQ8JnB9RZzpQRyhwKLiZVucU,Positivo,0.5407337042297979,This restaurant is located in a cute corridor with several other nice little restaurants. I highly recommend Bistrot de Paris.. One if my favourite restaurants in Sao Paulo.
ChIJWx0Ww2H5zpQRvRNUSvCc52o,Positivo,0.4538631102693602,"We ordered some skewers that also came in a good point and well seasoned. The house has potential, who knows if investing in some craft beers won't leverage more."
ChIJ3WyiFbP3zpQR64XcYr4b6sU,Positivo,0.4690885416666667,There are 3 spaces for who needs more options to seat (even outside store is possible). Also have plenty of magazines and some books for purchase..
ChIJzYBViaT3zpQR1bNXlXq1YPE,Negativo,-0.1906184895833333,"I just asked for ifood and they forgot my potato with cheddar sauce. I ordered a combo at Ifood with 3 snacks, 3 potatoes and 3 soda."
ChIJCVUBVCv4zpQRqBgvXeXlrYE,Positivo,0.3861338141025641,"Excellent service, good location, fair prices, quality meals and portions, cozy and familiar atmosphere.. A friend asked for dinner twice, it came below average, with so much history, the trade should improve the quality of the dishes, chicken fillet that was well-done turns raw, I'm friends with the owner, but when you move a chubby belly, it moves like a shake with everyone, I hope to come back and give a 5 and be able to comment on how much it has improved since the neighborhood trade we must give more value if it appreciates. Its location is on one of the most popular avenues in Freguesia do Ó.."
ChIJ65tVzDFZzpQRRfhrDbB1OJA,Positivo,0.2715494791666666,"It was my first purchase, I expected more, in addition to having paid fourty reais for a very small cake, the flavor could have been good, but unfortunately I am disappointed.. Sweet at the right point, cold when it has to be... Everything wonderful."
ChIJYXmo1MdZzpQRLxnXxWeaLiI,Positivo,0.5888888888888889,"Top.. good restaurants great food Good service Various food options But if you go with a car, you have to pay for parking, which is R$10 an hour.. I love this place, super polite and kind attendants"
ChIJA39GgiZJzpQRwl2gnXQ_zMg,Positivo,0.5589508928571428,"It was cool like that, eating on the spot because in addition to the food being better, it prevents some malicious people from picking up lunchboxes to sell around. They don't allow take-out anymore, you can only eat on the spot.."
ChIJzWMa7l1pzpQRDJsub-2k1Mk,Positivo,0.5264693603135698,"Next time I want to try the parmigiana or another dish. Casarão is like that, first class feijoada and the other dishes too, I've been several times and I've taken several friends, they all loved it."
ChIJH7_EYsLVmwARkCAGqaYkksA,Positivo,0.3629278273809523,"We had escondido cheddar bacon hamburger (40real) and sandwich de choripan (30real) with two soft drinks. Fantastic selection of local craft brews on tap, at least 20 to 30 and they where really good."
ChIJiSCWOORbzpQR7IW5VHhZX18,Positivo,0.3012753739316239,"Delightful pub for a good draft beer. It's not very accessible, the bathrooms are on the top floor and can only be reached by stairs."
ChIJlcP7wWJDzpQRRhkl208svUY,Positivo,0.425,Well I'll split this review in two parts Drinks - Top very tasty and well done    Foods -  No too tasty need more quality on the ingredients. Top.
ChIJSa-PHSxazpQRqG8kOVBqpHk,Positivo,0.5844097222222222,"It’s one of the best Mil folhas I have ever tried!. Try Sunday""s brunch from 12am to 4pm.. Wonder, good, actualitty."
ChIJLZAxhsdZzpQRqTokkP9PAKg,Positivo,0.2351426175820707,"Lost 5 customers at once.. Boulangerie within the Cultural Reserve space, close to many tourist spots on Avenida Paulista. Today I went to dinner with a friend at the Bistrô next door, simply amazing!"
ChIJS4XuOgpazpQR84vpvrjCwkM,Positivo,0.5173791035353535,Went there my first time to see live bands playing and felt very comfortable! Take a look around the block and always ask for the closing time before leaving your car.. Jazz Sessions | By Jazz Mansion no Bourbon Street Music Club!.
ChIJZdSM1cP5zpQR3IwR5zcoY90,Positivo,0.5880357142857142,"It is worth knowing and visiting the place.. Family atmosphere, great service, and an incredibly good menu, snacks, meals, portions all too tasty, congratulations."
ChIJo4LcX4H4zpQRNnrb37QV7W8,Positivo,0.3038020833333333,"The place itself deserves s visit it is so ample and nicely decorated. Don’t go on Saturdays, unless you are a big fan of feijoada."
ChIJAU9qJLL3zpQRLaIn08ZgJnQ,Positivo,0.3408134920634921,"Deplorable to deal with a person unwilling to work.. With the price I paid I would have had coffee in a bakery that at least serves espresso in a cup, I do not recommend it. I like this bakery... Service staff very helpful and fun."
ChIJfxZu6MP5zpQRJemvGwI5l7g,Positivo,0.4375,"The bread it""s ok but food it""s good. Just ok. Evey thing is missigin  this place.. Top."
